,Unnamed: 0.1,Unnamed: 0,PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl
579,1792,1792,02wuG,6rk/pp2p2p/1n1p1nq1/2pP1R2/3b4/2NQ4/PPPB2PP/5R1K w - - 3 21,c3e4 g6g2,1121,76,85,128,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/w22NuWUx#41
600,1873,1873,035ti,3n4/1pk2p2/p7/2p1b3/P1B5/2P2Np1/1P5P/2K5 w - - 0 26,f3e5 g3h2 c4d5 c7d6,1927,76,88,65,advancedPawn crushing endgame short,https://lichess.org/4MecciYb#51
610,1899,1899,0380K,r5r1/ppp2p1k/2np1Ppq/8/4PNP1/1N6/PPP5/2KR3Q b - - 1 29,g6g5 h1h6 h7h6 d1h1,920,77,86,234,attraction mate mateIn2 middlegame short,https://lichess.org/Pi00G95A/black#58
613,1906,1906,038oE,2rn1rk1/5pp1/3b1q1p/1p3P1Q/pP1pB2P/3P4/1BP2P2/2KR2R1 b - - 0 24,d6b4 g1g7 g8g7 d1g1 g7h7 b2d4,2427,75,97,354,attraction crushing kingsideAttack long middlegame sacrifice,https://lichess.org/GLEDoQI6/black#48
614,1909,1909,3935,2r2rk1/6pp/1q2p3/p1ppP1N1/3P1p1P/2PQ2n1/PP4P1/R1B3K1 b - - 3 23,h7h6 d3h7,695,99,95,453,mate mateIn1 middlegame oneMove,https://lichess.org/nrKykyPi/black#46
615,1912,1912,039P4,8/7Q/p1q2pp1/1p3k1p/1Pp2P2/P3PP2/6KP/8 w - - 1 36,h7h6 c4c3 e3e4 f5e6 f4f5 g6f5,1495,74,90,1078,crushing endgame long queenEndgame,https://lichess.org/0RQbhXGt#71
617,1918,1918,039kX,3r3k/p3q2P/1p6/5QP1/1P1pp3/P7/2PB4/2K5 b - - 0 41,e7h7 f5f6 h7g7 f6d8,1525,77,83,54,crushing endgame fork short,https://lichess.org/8flV2Naq/black#82
619,1922,1922,03A59,5rk1/1bqr1ppp/pb2p1n1/1p4B1/1P2P1Q1/2P2NN1/6PP/2R2R1K b - - 12 28,g6e5 f3e5 c7e5 g5f6 e5f6 f1f6,2007,162,92,9,crushing long middlegame pin,https://lichess.org/ThURA4pv/black#56
628,1957,1957,03Cge,8/pR3kpp/5p2/2pK1P2/7P/2rp4/5P2/8 b - - 1 32,f7f8 d5e6 g7g6 e6f6 f8e8 f6e6,1887,75,89,466,crushing defensiveMove endgame long rookEndgame,https://lichess.org/chluPFQo/black#64
639,1990,1990,03EgU,3rr1k1/1b3pb1/p1n1p1p1/1pPqP3/1P1p1BP1/P4NK1/3Q1P2/1B2R2R b - - 5 27,d4d3 b1a2 d5d7 f4h6,1500,500,100,0,crushing middlegame short,https://lichess.org/5LCeYXHf/black#54
646,2016,2016,03HQ6,8/2R2p2/5kp1/7p/5K2/5P1P/4r1P1/8 w - - 3 42,g2g4 g6g5 f4g3 h5h4,1267,75,88,224,endgame mate mateIn2 rookEndgame short,https://lichess.org/MRMw9vzC#83
647,2021,2021,03HmK,3r1rk1/1p3p1n/p1p3pP/3pQ3/1q2P3/5PN1/P1PR4/5RK1 b - - 0 30,f7f6 e5c7 d8d7 c7d7,1934,106,80,17,crushing middlegame short,https://lichess.org/sxvZsuvj/black#60
658,2043,2043,03JhA,1r5r/4q1kp/6p1/pp1Q1P2/3Rp3/2P1R3/P6P/6K1 b - - 0 28,e7g5 e3g3 h8d8 g3g5,1983,75,94,641,crushing defensiveMove endgame short,https://lichess.org/NNAH5XRc/black#56
659,2045,2045,03JlS,2rR2k1/p3rpp1/1p2bq1p/1N6/8/P3P3/1PQ2PPP/3R2K1 b - - 15 26,c8d8 d1d8 e7e8 d8e8,628,81,73,132,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/P5To7ode/black#52
669,2078,2078,03Mvf,6k1/pb1n2pp/1p1pN2q/8/2P1P3/1PN5/P3Q1PP/7K w - - 3 28,e2g4 d7e5 g4g5 h6e6 g5d8 g8f7,2256,77,90,439,advantage endgame long,https://lichess.org/TaR46fSH#55
674,2095,2095,03PD2,8/1kp5/p3p1p1/2Rp1qP1/3P1P1r/1P3K2/P2Q2P1/8 w - - 5 46,d2b4 b7a8 b4d2 f5g4 f3f2 h4h2,1833,239,100,9,crushing defensiveMove endgame long,https://lichess.org/TmyY7Avf#91
681,2133,2133,03Rui,2r3k1/pq1r1pbp/6p1/1PB2n2/2B5/PQ3P1P/5P2/2R1R1K1 w - - 1 25,c5b4 f5d4 b3d3 d4f3 d3f3 b7f3,1741,74,93,1111,crushing fork long middlegame,https://lichess.org/q91IuvgP#49
683,2138,2138,03SLJ,7k/4RN1P/1r6/6K1/8/8/8/1q6 b - - 1 56,h8g7 h7h8q,1694,78,90,5907,advancedPawn endgame mate mateIn1 oneMove promotion,https://lichess.org/l7BvBZgT/black#112
693,2162,2162,03VQT,6r1/1pp3k1/3p4/p2Pp1pP/2P1n1P1/P7/1P4K1/5R2 b - - 0 36,g8f8 h5h6 g7h6 f1f8,1227,77,88,1000,advantage deflection endgame short,https://lichess.org/abwnFv2V/black#72
694,2165,2165,03VaO,1kr5/1p3ppp/p5b1/P1Npr3/1R4P1/7P/1P3P2/2R3K1 b - - 3 27,e5e7 c5a6 b8a7 c1c8,1523,124,75,29,crushing deflection discoveredAttack endgame pin queensideAttack short,https://lichess.org/kWrLOTxy/black#54
698,2175,2175,03Wsp,r5r1/p2k1p1p/2pb4/6q1/4Q1b1/P3P3/1PPP1PPP/RNB2RK1 w - - 1 21,b1c3 d6h2 g1h2 g5h5 h2g1 g4f3 e4f3 h5f3,2342,98,69,32,attraction crushing kingsideAttack middlegame pin sacrifice veryLong,https://lichess.org/69anHdhy#41
700,2186,2186,03XXf,3k4/p1p3p1/2Q5/2b1pP2/2P3q1/1PN2nP1/PB2N2r/3K4 w - - 0 24,c6c5 h2h1 d1c2 g4f5 c3e4 f5e4,2103,77,85,217,crushing exposedKing long middlegame,https://lichess.org/KrVpjs9U#47
702,2194,2194,03YED,1q2r1k1/5pb1/4b1pp/3N4/1BPn1PP1/7P/Q6K/1R2R3 b - - 0 33,e6d5 b4d6 e8e2 e1e2 b8d6 e2e8 g8h7 c4d5 d6f4 h2h1,2200,476,-100,8,advantage defensiveMove middlegame veryLong,https://lichess.org/65on2AhX/black#66
706,2222,2222,03bsw,r7/pbp1r1k1/1p2pbp1/2P5/Q7/4B3/Pq3PPP/R3R1K1 b - - 3 20,b2e5 e3h6 g7h6 e1e5,1368,80,84,91,advantage discoveredAttack middlegame short,https://lichess.org/X6nW6Ref/black#40
710,2231,2231,03cgK,3r3k/p5p1/R3B2p/8/1B1Npb2/7P/P4PP1/6K1 w - - 0 33,d4e2 d8d1 b4e1 d1e1,629,83,79,565,endgame mate mateIn2 short,https://lichess.org/MfP4G4WV#65
